scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,6.933333333333334,CFM-ID,1
LC-MS$^2$Struct (2D),AC_003,7.866666666666666,CFM-ID,1
LC-MS$^2$Struct (3D),AC_003,8.933333333333334,CFM-ID,1
Only-MS$^2$,AU_000,8.77849412555295,CFM-ID,1
LC-MS$^2$Struct (2D),AU_000,14.733333333333333,CFM-ID,1
LC-MS$^2$Struct (3D),AU_000,15.666666666666666,CFM-ID,1
Only-MS$^2$,AU_002,7.024308675252072,CFM-ID,1
LC-MS$^2$Struct (2D),AU_002,7.509733453129678,CFM-ID,1
LC-MS$^2$Struct (3D),AU_002,8.982230208645303,CFM-ID,1
Only-MS$^2$,AU_003,2.4,CFM-ID,1
LC-MS$^2$Struct (2D),AU_003,7.6,CFM-ID,1
LC-MS$^2$Struct (3D),AU_003,8.0,CFM-ID,1
Only-MS$^2$,BML_000,4.133333333333334,CFM-ID,1
LC-MS$^2$Struct (2D),BML_000,4.133333333333334,CFM-ID,1
LC-MS$^2$Struct (3D),BML_000,5.733333333333333,CFM-ID,1
Only-MS$^2$,BML_001,0.9336260519575555,CFM-ID,1
LC-MS$^2$Struct (2D),BML_001,3.7333333333333334,CFM-ID,1
LC-MS$^2$Struct (3D),BML_001,5.066666666666666,CFM-ID,1
Only-MS$^2$,BS_000,6.133333333333335,CFM-ID,1
LC-MS$^2$Struct (2D),BS_000,9.666666666666666,CFM-ID,1
LC-MS$^2$Struct (3D),BS_000,11.066666666666666,CFM-ID,1
Only-MS$^2$,CE_001,5.128205128205128,CFM-ID,1
LC-MS$^2$Struct (2D),CE_001,7.6923076923076925,CFM-ID,1
LC-MS$^2$Struct (3D),CE_001,7.6923076923076925,CFM-ID,1
Only-MS$^2$,EA_000,7.264444444444444,CFM-ID,1
LC-MS$^2$Struct (2D),EA_000,14.133333333333333,CFM-ID,1
LC-MS$^2$Struct (3D),EA_000,14.4,CFM-ID,1
Only-MS$^2$,EA_001,7.556363636363637,CFM-ID,1
LC-MS$^2$Struct (2D),EA_001,15.533333333333333,CFM-ID,1
LC-MS$^2$Struct (3D),EA_001,16.866666666666667,CFM-ID,1
Only-MS$^2$,EA_002,4.330999066293184,CFM-ID,1
LC-MS$^2$Struct (2D),EA_002,7.614379084967321,CFM-ID,1
LC-MS$^2$Struct (3D),EA_002,8.27450980392157,CFM-ID,1
Only-MS$^2$,EA_003,8.476082740788623,CFM-ID,1
LC-MS$^2$Struct (2D),EA_003,13.66892911010558,CFM-ID,1
LC-MS$^2$Struct (3D),EA_003,14.32252388134741,CFM-ID,1
Only-MS$^2$,EQ_001,8.786666666666667,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_001,12.4,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_001,13.466666666666667,CFM-ID,1
Only-MS$^2$,EQ_003,2.0,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_003,4.133333333333334,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_003,4.266666666666667,CFM-ID,1
Only-MS$^2$,EQ_004,7.822222222222222,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_004,9.6,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_004,9.6,CFM-ID,1
Only-MS$^2$,EQ_006,8.8,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_006,11.066666666666666,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_006,12.266666666666667,CFM-ID,1
Only-MS$^2$,ET_002,4.0,CFM-ID,1
LC-MS$^2$Struct (2D),ET_002,8.0,CFM-ID,1
LC-MS$^2$Struct (3D),ET_002,10.0,CFM-ID,1
Only-MS$^2$,KW_000,1.818181818181818,CFM-ID,1
LC-MS$^2$Struct (2D),KW_000,5.454545454545454,CFM-ID,1
LC-MS$^2$Struct (3D),KW_000,7.272727272727272,CFM-ID,1
Only-MS$^2$,LQB_000,12.140522875816993,CFM-ID,1
LC-MS$^2$Struct (2D),LQB_000,18.441176470588236,CFM-ID,1
LC-MS$^2$Struct (3D),LQB_000,26.722222222222225,CFM-ID,1
Only-MS$^2$,LU_000,3.7633514944439312,CFM-ID,1
LC-MS$^2$Struct (2D),LU_000,5.305968541262659,CFM-ID,1
LC-MS$^2$Struct (3D),LU_000,6.69575522516699,CFM-ID,1
Only-MS$^2$,LU_001,6.180584121760592,CFM-ID,1
LC-MS$^2$Struct (2D),LU_001,7.956259426847663,CFM-ID,1
LC-MS$^2$Struct (3D),LU_001,9.183463595228302,CFM-ID,1
Only-MS$^2$,NA_003,1.6533805100987764,CFM-ID,1
LC-MS$^2$Struct (2D),NA_003,1.8666666666666667,CFM-ID,1
LC-MS$^2$Struct (3D),NA_003,4.933333333333334,CFM-ID,1
Only-MS$^2$,PR_000,8.894531620106847,CFM-ID,1
LC-MS$^2$Struct (2D),PR_000,10.633053221288517,CFM-ID,1
LC-MS$^2$Struct (3D),PR_000,17.464985994397757,CFM-ID,1
Only-MS$^2$,PR_002,7.891067538126361,CFM-ID,1
LC-MS$^2$Struct (2D),PR_002,9.52723311546841,CFM-ID,1
LC-MS$^2$Struct (3D),PR_002,13.488017429193901,CFM-ID,1
Only-MS$^2$,RP_000,4.584726867335562,CFM-ID,1
LC-MS$^2$Struct (2D),RP_000,7.246376811594203,CFM-ID,1
LC-MS$^2$Struct (3D),RP_000,8.695652173913043,CFM-ID,1
Only-MS$^2$,RP_001,7.466666666666667,CFM-ID,1
LC-MS$^2$Struct (2D),RP_001,13.733333333333333,CFM-ID,1
LC-MS$^2$Struct (3D),RP_001,14.933333333333334,CFM-ID,1
Only-MS$^2$,SM_000,4.7894269058974945,CFM-ID,1
LC-MS$^2$Struct (2D),SM_000,8.755555555555556,CFM-ID,1
LC-MS$^2$Struct (3D),SM_000,10.0,CFM-ID,1
Only-MS$^2$,SM_001,3.675427617855653,CFM-ID,1
LC-MS$^2$Struct (2D),SM_001,7.282913165266107,CFM-ID,1
LC-MS$^2$Struct (3D),SM_001,7.563025210084034,CFM-ID,1
Only-MS$^2$,UF_002,1.7333333333333334,CFM-ID,1
LC-MS$^2$Struct (2D),UF_002,3.3333333333333335,CFM-ID,1
LC-MS$^2$Struct (3D),UF_002,3.466666666666667,CFM-ID,1
Only-MS$^2$,UF_003,2.6666666666666665,CFM-ID,1
LC-MS$^2$Struct (2D),UF_003,6.4,CFM-ID,1
LC-MS$^2$Struct (3D),UF_003,8.133333333333333,CFM-ID,1
Only-MS$^2$,UT_000,9.831886097243567,CFM-ID,1
LC-MS$^2$Struct (2D),UT_000,10.78317498796937,CFM-ID,1
LC-MS$^2$Struct (3D),UT_000,13.1146719694167,CFM-ID,1
Only-MS$^2$,AVG.,5.810560129631062,CFM-ID,1
LC-MS$^2$Struct (2D),AVG.,8.934753549081568,CFM-ID,1
LC-MS$^2$Struct (3D),AVG.,10.5201671117592,CFM-ID,1
Only-MS$^2$,AC_003,36.4,CFM-ID,20
LC-MS$^2$Struct (2D),AC_003,40.266666666666666,CFM-ID,20
LC-MS$^2$Struct (3D),AC_003,41.86666666666667,CFM-ID,20
Only-MS$^2$,AU_000,53.35410994458614,CFM-ID,20
LC-MS$^2$Struct (2D),AU_000,58.266666666666666,CFM-ID,20
LC-MS$^2$Struct (3D),AU_000,58.53333333333333,CFM-ID,20
Only-MS$^2$,AU_002,39.456404136276774,CFM-ID,20
LC-MS$^2$Struct (2D),AU_002,47.591594289707494,CFM-ID,20
LC-MS$^2$Struct (3D),AU_002,47.99341120095837,CFM-ID,20
Only-MS$^2$,AU_003,50.13333333333333,CFM-ID,20
LC-MS$^2$Struct (2D),AU_003,60.666666666666664,CFM-ID,20
LC-MS$^2$Struct (3D),AU_003,61.2,CFM-ID,20
Only-MS$^2$,BML_000,30.933333333333334,CFM-ID,20
LC-MS$^2$Struct (2D),BML_000,40.13333333333333,CFM-ID,20
LC-MS$^2$Struct (3D),BML_000,42.93333333333333,CFM-ID,20
Only-MS$^2$,BML_001,36.40585437248445,CFM-ID,20
LC-MS$^2$Struct (2D),BML_001,47.733333333333334,CFM-ID,20
LC-MS$^2$Struct (3D),BML_001,50.13333333333333,CFM-ID,20
Only-MS$^2$,BS_000,35.2,CFM-ID,20
LC-MS$^2$Struct (2D),BS_000,48.53333333333333,CFM-ID,20
LC-MS$^2$Struct (3D),BS_000,54.0,CFM-ID,20
Only-MS$^2$,CE_001,46.15384615384615,CFM-ID,20
LC-MS$^2$Struct (2D),CE_001,43.58974358974359,CFM-ID,20
LC-MS$^2$Struct (3D),CE_001,48.71794871794872,CFM-ID,20
Only-MS$^2$,EA_000,40.852325581395355,CFM-ID,20
LC-MS$^2$Struct (2D),EA_000,48.0,CFM-ID,20
LC-MS$^2$Struct (3D),EA_000,48.8,CFM-ID,20
Only-MS$^2$,EA_001,49.2,CFM-ID,20
LC-MS$^2$Struct (2D),EA_001,58.0,CFM-ID,20
LC-MS$^2$Struct (3D),EA_001,60.53333333333333,CFM-ID,20
Only-MS$^2$,EA_002,37.922739244951714,CFM-ID,20
LC-MS$^2$Struct (2D),EA_002,42.83660130718954,CFM-ID,20
LC-MS$^2$Struct (3D),EA_002,42.81699346405228,CFM-ID,20
Only-MS$^2$,EA_003,47.19708396178985,CFM-ID,20
LC-MS$^2$Struct (2D),EA_003,55.995475113122176,CFM-ID,20
LC-MS$^2$Struct (3D),EA_003,57.61689291101055,CFM-ID,20
Only-MS$^2$,EQ_001,52.800000000000004,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_001,61.46666666666667,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_001,61.333333333333336,CFM-ID,20
Only-MS$^2$,EQ_003,38.53333333333333,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_003,48.266666666666666,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_003,50.266666666666666,CFM-ID,20
Only-MS$^2$,EQ_004,49.733333333333334,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_004,55.6,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_004,54.53333333333333,CFM-ID,20
Only-MS$^2$,EQ_006,40.666666666666664,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_006,44.53333333333333,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_006,47.06666666666667,CFM-ID,20
Only-MS$^2$,ET_002,40.0,CFM-ID,20
LC-MS$^2$Struct (2D),ET_002,40.0,CFM-ID,20
LC-MS$^2$Struct (3D),ET_002,40.0,CFM-ID,20
Only-MS$^2$,KW_000,27.272727272727263,CFM-ID,20
LC-MS$^2$Struct (2D),KW_000,36.36363636363637,CFM-ID,20
LC-MS$^2$Struct (3D),KW_000,36.36363636363637,CFM-ID,20
Only-MS$^2$,LQB_000,81.91895424836602,CFM-ID,20
LC-MS$^2$Struct (2D),LQB_000,84.04575163398694,CFM-ID,20
LC-MS$^2$Struct (3D),LQB_000,92.3529411764706,CFM-ID,20
Only-MS$^2$,LU_000,43.959201606260436,CFM-ID,20
LC-MS$^2$Struct (2D),LU_000,49.17582417582417,CFM-ID,20
LC-MS$^2$Struct (3D),LU_000,51.69144580909286,CFM-ID,20
Only-MS$^2$,LU_001,44.638694638694645,CFM-ID,20
LC-MS$^2$Struct (2D),LU_001,50.60674619498149,CFM-ID,20
LC-MS$^2$Struct (3D),LU_001,51.48430001371178,CFM-ID,20
Only-MS$^2$,NA_003,29.6423228456537,CFM-ID,20
LC-MS$^2$Struct (2D),NA_003,32.4,CFM-ID,20
LC-MS$^2$Struct (3D),NA_003,36.4,CFM-ID,20
Only-MS$^2$,PR_000,54.09204630102981,CFM-ID,20
LC-MS$^2$Struct (2D),PR_000,61.48459383753501,CFM-ID,20
LC-MS$^2$Struct (3D),PR_000,68.52661064425772,CFM-ID,20
Only-MS$^2$,PR_002,49.503267973856204,CFM-ID,20
LC-MS$^2$Struct (2D),PR_002,56.9760348583878,CFM-ID,20
LC-MS$^2$Struct (3D),PR_002,59.37690631808279,CFM-ID,20
Only-MS$^2$,RP_000,33.03432940720275,CFM-ID,20
LC-MS$^2$Struct (2D),RP_000,47.82608695652174,CFM-ID,20
LC-MS$^2$Struct (3D),RP_000,49.275362318840585,CFM-ID,20
Only-MS$^2$,RP_001,45.06666666666667,CFM-ID,20
LC-MS$^2$Struct (2D),RP_001,55.2,CFM-ID,20
LC-MS$^2$Struct (3D),RP_001,59.46666666666667,CFM-ID,20
Only-MS$^2$,SM_000,46.36267443914503,CFM-ID,20
LC-MS$^2$Struct (2D),SM_000,51.06666666666667,CFM-ID,20
LC-MS$^2$Struct (3D),SM_000,51.86666666666667,CFM-ID,20
Only-MS$^2$,SM_001,48.85869241313547,CFM-ID,20
LC-MS$^2$Struct (2D),SM_001,53.78151260504202,CFM-ID,20
LC-MS$^2$Struct (3D),SM_001,54.90196078431372,CFM-ID,20
Only-MS$^2$,UF_002,35.86666666666667,CFM-ID,20
LC-MS$^2$Struct (2D),UF_002,40.53333333333333,CFM-ID,20
LC-MS$^2$Struct (3D),UF_002,41.333333333333336,CFM-ID,20
Only-MS$^2$,UF_003,36.4,CFM-ID,20
LC-MS$^2$Struct (2D),UF_003,44.8,CFM-ID,20
LC-MS$^2$Struct (3D),UF_003,47.2,CFM-ID,20
Only-MS$^2$,UT_000,71.73861920954958,CFM-ID,20
LC-MS$^2$Struct (2D),UT_000,75.02665039897548,CFM-ID,20
LC-MS$^2$Struct (3D),UT_000,79.5920012901145,CFM-ID,20
Only-MS$^2$,AVG.,43.88099609995425,CFM-ID,20
LC-MS$^2$Struct (2D),AVG.,51.06558521037509,CFM-ID,20
LC-MS$^2$Struct (3D),AVG.,53.20106126077261,CFM-ID,20
Only-MS$^2$,AC_003,12.286981018259125,MetFrag,1
LC-MS$^2$Struct (2D),AC_003,18.266666666666666,MetFrag,1
LC-MS$^2$Struct (3D),AC_003,20.133333333333333,MetFrag,1
Only-MS$^2$,AU_000,9.500791937065268,MetFrag,1
LC-MS$^2$Struct (2D),AU_000,16.755555555555553,MetFrag,1
LC-MS$^2$Struct (3D),AU_000,19.955555555555556,MetFrag,1
Only-MS$^2$,AU_002,4.686796417178445,MetFrag,1
LC-MS$^2$Struct (2D),AU_002,6.961914744933613,MetFrag,1
LC-MS$^2$Struct (3D),AU_002,8.969751422581611,MetFrag,1
Only-MS$^2$,AU_003,5.173809523809524,MetFrag,1
LC-MS$^2$Struct (2D),AU_003,3.8666666666666667,MetFrag,1
LC-MS$^2$Struct (3D),AU_003,8.0,MetFrag,1
Only-MS$^2$,BML_000,3.1337151927455653,MetFrag,1
LC-MS$^2$Struct (2D),BML_000,6.066666666666666,MetFrag,1
LC-MS$^2$Struct (3D),BML_000,9.466666666666667,MetFrag,1
Only-MS$^2$,BML_001,3.535531110625374,MetFrag,1
LC-MS$^2$Struct (2D),BML_001,6.133333333333334,MetFrag,1
LC-MS$^2$Struct (3D),BML_001,7.2,MetFrag,1
Only-MS$^2$,BS_000,11.978616435508904,MetFrag,1
LC-MS$^2$Struct (2D),BS_000,13.848095238095237,MetFrag,1
LC-MS$^2$Struct (3D),BS_000,17.04904761904762,MetFrag,1
Only-MS$^2$,CE_001,2.1379531215596788,MetFrag,1
LC-MS$^2$Struct (2D),CE_001,0.0,MetFrag,1
LC-MS$^2$Struct (3D),CE_001,2.564102564102564,MetFrag,1
Only-MS$^2$,EA_000,12.13196956367952,MetFrag,1
LC-MS$^2$Struct (2D),EA_000,25.555555555555554,MetFrag,1
LC-MS$^2$Struct (3D),EA_000,28.133333333333333,MetFrag,1
Only-MS$^2$,EA_001,14.533067370643677,MetFrag,1
LC-MS$^2$Struct (2D),EA_001,25.333333333333336,MetFrag,1
LC-MS$^2$Struct (3D),EA_001,26.866666666666667,MetFrag,1
Only-MS$^2$,EA_002,4.419307494568247,MetFrag,1
LC-MS$^2$Struct (2D),EA_002,10.431372549019608,MetFrag,1
LC-MS$^2$Struct (3D),EA_002,10.758169934640522,MetFrag,1
Only-MS$^2$,EA_003,7.950705690059785,MetFrag,1
LC-MS$^2$Struct (2D),EA_003,14.764538293950059,MetFrag,1
LC-MS$^2$Struct (3D),EA_003,18.35302497067203,MetFrag,1
Only-MS$^2$,EQ_001,5.499232323232324,MetFrag,1
LC-MS$^2$Struct (2D),EQ_001,11.333333333333334,MetFrag,1
LC-MS$^2$Struct (3D),EQ_001,13.066666666666666,MetFrag,1
Only-MS$^2$,EQ_003,7.07070707070707,MetFrag,1
LC-MS$^2$Struct (2D),EQ_003,9.733333333333333,MetFrag,1
LC-MS$^2$Struct (3D),EQ_003,12.266666666666667,MetFrag,1
Only-MS$^2$,EQ_004,5.333333333333333,MetFrag,1
LC-MS$^2$Struct (2D),EQ_004,9.4,MetFrag,1
LC-MS$^2$Struct (3D),EQ_004,11.8,MetFrag,1
Only-MS$^2$,EQ_006,5.466666666666667,MetFrag,1
LC-MS$^2$Struct (2D),EQ_006,9.066666666666666,MetFrag,1
LC-MS$^2$Struct (3D),EQ_006,11.066666666666666,MetFrag,1
Only-MS$^2$,ET_002,7.771929824561402,MetFrag,1
LC-MS$^2$Struct (2D),ET_002,10.0,MetFrag,1
LC-MS$^2$Struct (3D),ET_002,10.0,MetFrag,1
Only-MS$^2$,KW_000,1.888111888111888,MetFrag,1
LC-MS$^2$Struct (2D),KW_000,5.454545454545454,MetFrag,1
LC-MS$^2$Struct (3D),KW_000,3.636363636363636,MetFrag,1
Only-MS$^2$,LQB_000,9.76465919701214,MetFrag,1
LC-MS$^2$Struct (2D),LQB_000,11.671040723981902,MetFrag,1
LC-MS$^2$Struct (3D),LQB_000,27.90947712418301,MetFrag,1
Only-MS$^2$,LU_000,7.1096140886948165,MetFrag,1
LC-MS$^2$Struct (2D),LU_000,11.608489549666022,MetFrag,1
LC-MS$^2$Struct (3D),LU_000,12.16332686920922,MetFrag,1
Only-MS$^2$,LU_001,7.473762960895314,MetFrag,1
LC-MS$^2$Struct (2D),LU_001,9.50569038804333,MetFrag,1
LC-MS$^2$Struct (3D),LU_001,10.750034279446044,MetFrag,1
Only-MS$^2$,NA_003,2.800412327075572,MetFrag,1
LC-MS$^2$Struct (2D),NA_003,11.733333333333333,MetFrag,1
LC-MS$^2$Struct (3D),NA_003,14.666666666666666,MetFrag,1
Only-MS$^2$,PR_000,10.159592474449022,MetFrag,1
LC-MS$^2$Struct (2D),PR_000,15.375350140056023,MetFrag,1
LC-MS$^2$Struct (3D),PR_000,22.078431372549023,MetFrag,1
Only-MS$^2$,PR_002,8.401069989571917,MetFrag,1
LC-MS$^2$Struct (2D),PR_002,10.931009440813362,MetFrag,1
LC-MS$^2$Struct (3D),PR_002,15.250544662309368,MetFrag,1
Only-MS$^2$,RP_000,5.513215804562663,MetFrag,1
LC-MS$^2$Struct (2D),RP_000,7.391304347826086,MetFrag,1
LC-MS$^2$Struct (3D),RP_000,13.043478260869565,MetFrag,1
Only-MS$^2$,RP_001,6.013828996282529,MetFrag,1
LC-MS$^2$Struct (2D),RP_001,9.2,MetFrag,1
LC-MS$^2$Struct (3D),RP_001,13.333333333333334,MetFrag,1
Only-MS$^2$,SM_000,6.514720055580436,MetFrag,1
LC-MS$^2$Struct (2D),SM_000,13.333333333333334,MetFrag,1
LC-MS$^2$Struct (3D),SM_000,14.0,MetFrag,1
Only-MS$^2$,SM_001,3.7596300460858054,MetFrag,1
LC-MS$^2$Struct (2D),SM_001,7.002801120448178,MetFrag,1
LC-MS$^2$Struct (3D),SM_001,7.9831932773109235,MetFrag,1
Only-MS$^2$,UF_002,2.943771387094145,MetFrag,1
LC-MS$^2$Struct (2D),UF_002,6.4,MetFrag,1
LC-MS$^2$Struct (3D),UF_002,7.6,MetFrag,1
Only-MS$^2$,UF_003,1.5823031533496652,MetFrag,1
LC-MS$^2$Struct (2D),UF_003,3.8666666666666667,MetFrag,1
LC-MS$^2$Struct (3D),UF_003,5.333333333333333,MetFrag,1
Only-MS$^2$,UT_000,2.5717222496200978,MetFrag,1
LC-MS$^2$Struct (2D),UT_000,3.0301592940592528,MetFrag,1
LC-MS$^2$Struct (3D),UT_000,6.44958129489206,MetFrag,1
Only-MS$^2$,AVG.,6.8231814864961295,MetFrag,1
LC-MS$^2$Struct (2D),AVG.,11.313384512684472,MetFrag,1
LC-MS$^2$Struct (3D),AVG.,14.061002523106367,MetFrag,1
Only-MS$^2$,AC_003,51.99993782549998,MetFrag,20
LC-MS$^2$Struct (2D),AC_003,53.2,MetFrag,20
LC-MS$^2$Struct (3D),AC_003,54.4,MetFrag,20
Only-MS$^2$,AU_000,55.09127076933418,MetFrag,20
LC-MS$^2$Struct (2D),AU_000,63.0,MetFrag,20
LC-MS$^2$Struct (3D),AU_000,64.8,MetFrag,20
Only-MS$^2$,AU_002,42.54975699988032,MetFrag,20
LC-MS$^2$Struct (2D),AU_002,51.19047619047619,MetFrag,20
LC-MS$^2$Struct (3D),AU_002,52.40840571029249,MetFrag,20
Only-MS$^2$,AU_003,35.28333333333333,MetFrag,20
LC-MS$^2$Struct (2D),AU_003,47.46666666666667,MetFrag,20
LC-MS$^2$Struct (3D),AU_003,50.666666666666664,MetFrag,20
Only-MS$^2$,BML_000,30.954136770533694,MetFrag,20
