scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,6.933333333333334,CFM-ID,1
LC-MS$^2$Struct,AC_003,8.933333333333334,CFM-ID,1
MS$^2$+RT,AC_003,6.933333333333334,CFM-ID,1
MS$^2$+logP,AC_003,4.49037037037037,CFM-ID,1
MS$^2$+RO,AC_003,8.533333333333333,CFM-ID,1
Only-MS$^2$,AU_000,8.77849412555295,CFM-ID,1
LC-MS$^2$Struct,AU_000,15.666666666666666,CFM-ID,1
MS$^2$+RT,AU_000,8.912987274163745,CFM-ID,1
MS$^2$+logP,AU_000,10.571717171717172,CFM-ID,1
MS$^2$+RO,AU_000,11.4,CFM-ID,1
Only-MS$^2$,AU_002,7.024308675252072,CFM-ID,1
LC-MS$^2$Struct,AU_002,8.982230208645303,CFM-ID,1
MS$^2$+RT,AU_002,7.029300189677548,CFM-ID,1
MS$^2$+logP,AU_002,6.431566337226713,CFM-ID,1
MS$^2$+RO,AU_002,6.039732454826796,CFM-ID,1
Only-MS$^2$,AU_003,2.4,CFM-ID,1
LC-MS$^2$Struct,AU_003,8.0,CFM-ID,1
MS$^2$+RT,AU_003,3.066666666666667,CFM-ID,1
MS$^2$+logP,AU_003,7.466666666666667,CFM-ID,1
MS$^2$+RO,AU_003,3.6,CFM-ID,1
Only-MS$^2$,BML_000,4.133333333333334,CFM-ID,1
LC-MS$^2$Struct,BML_000,5.733333333333333,CFM-ID,1
MS$^2$+RT,BML_000,4.133333333333334,CFM-ID,1
MS$^2$+logP,BML_000,3.066666666666667,CFM-ID,1
MS$^2$+RO,BML_000,4.4,CFM-ID,1
Only-MS$^2$,BML_001,0.9336260519575555,CFM-ID,1
LC-MS$^2$Struct,BML_001,5.066666666666666,CFM-ID,1
MS$^2$+RT,BML_001,1.466962346713299,CFM-ID,1
MS$^2$+logP,BML_001,1.3333333333333333,CFM-ID,1
MS$^2$+RO,BML_001,3.7333333333333334,CFM-ID,1
Only-MS$^2$,BS_000,6.133333333333335,CFM-ID,1
LC-MS$^2$Struct,BS_000,11.066666666666666,CFM-ID,1
MS$^2$+RT,BS_000,6.8,CFM-ID,1
MS$^2$+logP,BS_000,6.8,CFM-ID,1
MS$^2$+RO,BS_000,7.4,CFM-ID,1
Only-MS$^2$,EA_000,7.264444444444444,CFM-ID,1
LC-MS$^2$Struct,EA_000,14.4,CFM-ID,1
MS$^2$+RT,EA_000,7.597777777777778,CFM-ID,1
MS$^2$+logP,EA_000,8.677777777777779,CFM-ID,1
MS$^2$+RO,EA_000,6.133333333333334,CFM-ID,1
Only-MS$^2$,EA_001,7.556363636363637,CFM-ID,1
LC-MS$^2$Struct,EA_001,16.866666666666667,CFM-ID,1
MS$^2$+RT,EA_001,7.423030303030303,CFM-ID,1
MS$^2$+logP,EA_001,8.666666666666666,CFM-ID,1
MS$^2$+RO,EA_001,7.760000000000001,CFM-ID,1
Only-MS$^2$,EA_002,4.330999066293184,CFM-ID,1
LC-MS$^2$Struct,EA_002,8.27450980392157,CFM-ID,1
MS$^2$+RT,EA_002,4.30718954248366,CFM-ID,1
MS$^2$+logP,EA_002,6.633986928104576,CFM-ID,1
MS$^2$+RO,EA_002,4.647058823529412,CFM-ID,1
Only-MS$^2$,EA_003,8.476082740788623,CFM-ID,1
LC-MS$^2$Struct,EA_003,14.32252388134741,CFM-ID,1
MS$^2$+RT,EA_003,8.45274007038713,CFM-ID,1
MS$^2$+logP,EA_003,10.740321769733534,CFM-ID,1
MS$^2$+RO,EA_003,11.714429361488184,CFM-ID,1
Only-MS$^2$,EQ_001,8.786666666666667,CFM-ID,1
LC-MS$^2$Struct,EQ_001,13.466666666666667,CFM-ID,1
MS$^2$+RT,EQ_001,7.986666666666666,CFM-ID,1
MS$^2$+logP,EQ_001,8.460606060606061,CFM-ID,1
MS$^2$+RO,EQ_001,11.911111111111113,CFM-ID,1
Only-MS$^2$,EQ_003,2.0,CFM-ID,1
LC-MS$^2$Struct,EQ_003,4.266666666666667,CFM-ID,1
MS$^2$+RT,EQ_003,1.7333333333333334,CFM-ID,1
MS$^2$+logP,EQ_003,3.293302161512763,CFM-ID,1
MS$^2$+RO,EQ_003,3.2,CFM-ID,1
Only-MS$^2$,EQ_004,7.822222222222222,CFM-ID,1
LC-MS$^2$Struct,EQ_004,9.6,CFM-ID,1
MS$^2$+RT,EQ_004,7.822222222222222,CFM-ID,1
MS$^2$+logP,EQ_004,6.133333333333334,CFM-ID,1
MS$^2$+RO,EQ_004,7.6,CFM-ID,1
Only-MS$^2$,EQ_006,8.8,CFM-ID,1
LC-MS$^2$Struct,EQ_006,12.266666666666667,CFM-ID,1
MS$^2$+RT,EQ_006,7.733333333333333,CFM-ID,1
MS$^2$+logP,EQ_006,9.733333333333333,CFM-ID,1
MS$^2$+RO,EQ_006,8.8,CFM-ID,1
Only-MS$^2$,LQB_000,12.140522875816993,CFM-ID,1
LC-MS$^2$Struct,LQB_000,26.722222222222225,CFM-ID,1
MS$^2$+RT,LQB_000,18.120915032679736,CFM-ID,1
MS$^2$+logP,LQB_000,11.140522875816993,CFM-ID,1
MS$^2$+RO,LQB_000,17.627450980392158,CFM-ID,1
Only-MS$^2$,LU_000,3.7633514944439312,CFM-ID,1
LC-MS$^2$Struct,LU_000,6.69575522516699,CFM-ID,1
MS$^2$+RT,LU_000,3.499399759903962,CFM-ID,1
MS$^2$+logP,LU_000,4.056237879767291,CFM-ID,1
MS$^2$+RO,LU_000,3.9000215470803705,CFM-ID,1
Only-MS$^2$,LU_001,6.180584121760592,CFM-ID,1
LC-MS$^2$Struct,LU_001,9.183463595228302,CFM-ID,1
MS$^2$+RT,LU_001,6.180584121760592,CFM-ID,1
MS$^2$+logP,LU_001,7.064993829699713,CFM-ID,1
MS$^2$+RO,LU_001,8.292197998080352,CFM-ID,1
Only-MS$^2$,NA_003,1.6533805100987764,CFM-ID,1
LC-MS$^2$Struct,NA_003,4.933333333333334,CFM-ID,1
MS$^2$+RT,NA_003,2.720047176765443,CFM-ID,1
MS$^2$+logP,NA_003,1.3249758382885315,CFM-ID,1
MS$^2$+RO,NA_003,0.8666666666666667,CFM-ID,1
Only-MS$^2$,PR_000,8.894531620106847,CFM-ID,1
LC-MS$^2$Struct,PR_000,17.464985994397757,CFM-ID,1
MS$^2$+RT,PR_000,9.148504144387061,CFM-ID,1
MS$^2$+logP,PR_000,8.868347338935575,CFM-ID,1
MS$^2$+RO,PR_000,10.417366946778712,CFM-ID,1
Only-MS$^2$,PR_002,7.891067538126361,CFM-ID,1
LC-MS$^2$Struct,PR_002,13.488017429193901,CFM-ID,1
MS$^2$+RT,PR_002,8.113289760348584,CFM-ID,1
MS$^2$+logP,PR_002,8.335511982570806,CFM-ID,1
MS$^2$+RO,PR_002,9.10239651416122,CFM-ID,1
Only-MS$^2$,RP_001,7.466666666666667,CFM-ID,1
LC-MS$^2$Struct,RP_001,14.933333333333334,CFM-ID,1
MS$^2$+RT,RP_001,7.6,CFM-ID,1
MS$^2$+logP,RP_001,7.6,CFM-ID,1
MS$^2$+RO,RP_001,11.2,CFM-ID,1
Only-MS$^2$,SM_000,4.7894269058974945,CFM-ID,1
LC-MS$^2$Struct,SM_000,10.0,CFM-ID,1
MS$^2$+RT,SM_000,4.134171650642239,CFM-ID,1
MS$^2$+logP,SM_000,6.672727272727273,CFM-ID,1
MS$^2$+RO,SM_000,4.846666666666667,CFM-ID,1
Only-MS$^2$,SM_001,3.675427617855653,CFM-ID,1
LC-MS$^2$Struct,SM_001,7.563025210084034,CFM-ID,1
MS$^2$+RT,SM_001,3.6754276178556533,CFM-ID,1
MS$^2$+logP,SM_001,5.322128851540617,CFM-ID,1
MS$^2$+RO,SM_001,5.602240896358543,CFM-ID,1
Only-MS$^2$,UF_002,1.7333333333333334,CFM-ID,1
LC-MS$^2$Struct,UF_002,3.466666666666667,CFM-ID,1
MS$^2$+RT,UF_002,2.0,CFM-ID,1
MS$^2$+logP,UF_002,4.0,CFM-ID,1
MS$^2$+RO,UF_002,2.933333333333333,CFM-ID,1
Only-MS$^2$,UF_003,2.6666666666666665,CFM-ID,1
LC-MS$^2$Struct,UF_003,8.133333333333333,CFM-ID,1
MS$^2$+RT,UF_003,2.6666666666666665,CFM-ID,1
MS$^2$+logP,UF_003,3.6,CFM-ID,1
MS$^2$+RO,UF_003,5.333333333333333,CFM-ID,1
Only-MS$^2$,UT_000,9.831886097243567,CFM-ID,1
LC-MS$^2$Struct,UT_000,13.1146719694167,CFM-ID,1
MS$^2$+RT,UT_000,15.012517476171249,CFM-ID,1
MS$^2$+logP,UT_000,13.836477987421384,CFM-ID,1
MS$^2$+RO,UT_000,11.73677423205725,CFM-ID,1
Only-MS$^2$,AVG.,5.83259192021621,CFM-ID,1
LC-MS$^2$Struct,AVG.,10.544224201210882,CFM-ID,1
