scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AC_003,0.2901211810889228,CFM-ID,1
LC-MS$^2$Struct (3D),AC_003,1.0124242424242427,CFM-ID,1
Only-MS$^2$,AU_002,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AU_002,0.25074099597055943,CFM-ID,1
LC-MS$^2$Struct (3D),AU_002,1.6010356428441535,CFM-ID,1
Only-MS$^2$,BML_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BML_001,0.1262626262626262,CFM-ID,1
LC-MS$^2$Struct (3D),BML_001,0.0,CFM-ID,1
Only-MS$^2$,BS_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BS_000,0.3714285714285701,CFM-ID,1
LC-MS$^2$Struct (3D),BS_000,1.5666666666666647,CFM-ID,1
Only-MS$^2$,EA_002,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_002,0.6892230576441103,CFM-ID,1
LC-MS$^2$Struct (3D),EA_002,1.6549059139784945,CFM-ID,1
Only-MS$^2$,EA_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_003,0.0,CFM-ID,1
LC-MS$^2$Struct (3D),EA_003,-1.1884550084889642,CFM-ID,1
Only-MS$^2$,EQ_004,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_004,0.933706816059757,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_004,1.063767387296799,CFM-ID,1
Only-MS$^2$,LQB_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),LQB_000,2.827481160814493,CFM-ID,1
LC-MS$^2$Struct (3D),LQB_000,17.97795414462081,CFM-ID,1
Only-MS$^2$,LU_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),LU_000,0.0,CFM-ID,1
LC-MS$^2$Struct (3D),LU_000,0.4666666666666668,CFM-ID,1
Only-MS$^2$,LU_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),LU_001,0.114074074074074,CFM-ID,1
LC-MS$^2$Struct (3D),LU_001,2.0533333333333337,CFM-ID,1
Only-MS$^2$,NA_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),NA_003,0.3016432795623436,CFM-ID,1
LC-MS$^2$Struct (3D),NA_003,-0.1701984251560735,CFM-ID,1
Only-MS$^2$,PR_002,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),PR_002,0.05556725556725528,CFM-ID,1
LC-MS$^2$Struct (3D),PR_002,0.9046739046739047,CFM-ID,1
Only-MS$^2$,RP_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),RP_000,1.3605442176870755,CFM-ID,1
LC-MS$^2$Struct (3D),RP_000,0.0,CFM-ID,1
Only-MS$^2$,RP_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),RP_001,1.0632746249184604,CFM-ID,1
LC-MS$^2$Struct (3D),RP_001,4.975572372832646,CFM-ID,1
Only-MS$^2$,SM_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),SM_001,1.111111111111111,CFM-ID,1
LC-MS$^2$Struct (3D),SM_001,2.2222222222222223,CFM-ID,1
Only-MS$^2$,UT_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),UT_000,0.5536838051748658,CFM-ID,1
LC-MS$^2$Struct (3D),UT_000,7.761909909222128,CFM-ID,1
Only-MS$^2$,AVG.,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AVG.,0.41192097590567034,CFM-ID,1
LC-MS$^2$Struct (3D),AVG.,2.604210726039371,CFM-ID,1
Only-MS$^2$,AC_003,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),AC_003,4.024516131021517,CFM-ID,20
LC-MS$^2$Struct (3D),AC_003,7.840660001090118,CFM-ID,20
Only-MS$^2$,AU_002,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),AU_002,5.508779058478964,CFM-ID,20
LC-MS$^2$Struct (3D),AU_002,13.293796020630161,CFM-ID,20
Only-MS$^2$,BML_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),BML_001,1.468633705475817,CFM-ID,20
LC-MS$^2$Struct (3D),BML_001,3.764519195141208,CFM-ID,20
Only-MS$^2$,BS_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),BS_000,4.270054429001789,CFM-ID,20
LC-MS$^2$Struct (3D),BS_000,11.507142857142853,CFM-ID,20
Only-MS$^2$,EA_002,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),EA_002,1.747559507112193,CFM-ID,20
LC-MS$^2$Struct (3D),EA_002,2.192471331198721,CFM-ID,20
Only-MS$^2$,EA_003,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),EA_003,1.4952888375109161,CFM-ID,20
LC-MS$^2$Struct (3D),EA_003,5.502657771703287,CFM-ID,20
Only-MS$^2$,EQ_004,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_004,2.287581699346404,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_004,7.324894060188171,CFM-ID,20
Only-MS$^2$,LQB_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),LQB_000,3.9616402116402156,CFM-ID,20
LC-MS$^2$Struct (3D),LQB_000,8.73530276308054,CFM-ID,20
Only-MS$^2$,LU_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),LU_000,4.508205053838566,CFM-ID,20
LC-MS$^2$Struct (3D),LU_000,10.127379765465506,CFM-ID,20
Only-MS$^2$,LU_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),LU_001,2.6845875263123915,CFM-ID,20
LC-MS$^2$Struct (3D),LU_001,6.395565802064965,CFM-ID,20
Only-MS$^2$,NA_003,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),NA_003,-0.18291270532774817,CFM-ID,20
LC-MS$^2$Struct (3D),NA_003,2.578549198846032,CFM-ID,20
Only-MS$^2$,PR_002,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),PR_002,2.173915390234992,CFM-ID,20
LC-MS$^2$Struct (3D),PR_002,7.8270528087111515,CFM-ID,20
Only-MS$^2$,RP_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),RP_000,3.9986953685583977,CFM-ID,20
LC-MS$^2$Struct (3D),RP_000,8.095238095238113,CFM-ID,20
Only-MS$^2$,RP_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),RP_001,1.29569862704912,CFM-ID,20
LC-MS$^2$Struct (3D),RP_001,8.66052349289798,CFM-ID,20
Only-MS$^2$,SM_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),SM_001,1.8981481481481453,CFM-ID,20
LC-MS$^2$Struct (3D),SM_001,7.731481481481467,CFM-ID,20
Only-MS$^2$,UT_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),UT_000,2.0545221635286026,CFM-ID,20
LC-MS$^2$Struct (3D),UT_000,12.16018391591696,CFM-ID,20
Only-MS$^2$,AVG.,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),AVG.,3.4949521079074515,CFM-ID,20
LC-MS$^2$Struct (3D),AVG.,9.185302235444006,CFM-ID,20
Only-MS$^2$,AC_003,0.0,MetFrag,1
